survey_title,question_body,sort_order
デモ: 月次1on1アンケート（6月）,今の業務に満足していますか？,1
デモ: 月次1on1アンケート（6月）,業務量は適切だと感じますか？,2
デモ: 月次1on1アンケート（6月）,職場環境に満足していますか？,3
デモ: 月次1on1アンケート（6月）,職場の人間関係は良好ですか？,4
デモ: 月次1on1アンケート（6月）,最近ストレスを感じることはありますか？,5
デモ: 月次1on1アンケート（6月）,上長に相談したいこと・自由記述,6
デモ: 半期面談アンケート,上期の目標は達成できましたか？,1
デモ: 半期面談アンケート,業務にやりがいを感じていますか？,2
デモ: 半期面談アンケート,来期に挑戦したいことを教えてください,3
デモ: 半期面談アンケート,上長に相談したいこと（自由記述）,4
デモ: ストレスチェック,最近よく眠れていますか？,1
デモ: ストレスチェック,仕事の負担が大きいと感じますか？,2
デモ: ストレスチェック,職場で気軽に相談できる人がいますか？,3
デモ: ストレスチェック,体調面で気になることがあれば記入,4
